구분,페이지,기능명,설명
사용자 어플,로그인,로그인,"로그인 화면에서는 구글 로그인 버튼이 있다.
로그인 버튼을 눌러서 회원가입이 된 사용자이면 바로 메인화면으로 이동하고 회원가입이 안되어 있으면 회원가입 화면으로 이동한다."
,회원가입,회원가입,"1. 닉네임과 프로필 사진 입력 후 다음을 누르면 영어 레벨 테스트를 진행한다.
2. 레벨 테스트는 간단하게 10개 정도의 문항을 풀어서 사용자의 영어 레벨을 판단한다. 사용자의 레벨은 초급/중급/고급으로 나뉜다.
3. 레벨 테스트 완료 하면 서비스 이용약관, 개인정보 취급 방침 체크 후 회원가입 하면 메인화면으로 이동한다."
,메인화면,오늘의 문장,"1. 사용자의 레벨에 맞는 오늘의 영어 문장과 그 문장에 사용된 문법, 핵심 단어, 유사 표현등이 정리 된 카드가 총 5개 표시된다.
2. TTS 기능을 이용해서 문장, 단어, 유사표현을 들어볼 수 있다.
3. 각 카드를 가로로 스크롤 된다. 한 화면에는 1개씩 표시 된다.
4. 새로운 문장을 배우려면 다음날이 되어야 한다. 같은 날에는 항상 같은 문장만 표시 된다."
,좌측 메뉴,좌측 메뉴,"어플의 좌측 메뉴 리스트에는 학습 기록, 로그아웃이 있다."
,학습기록화면,학습기록,"1. 학습 기록 페이지의 상단에는 날짜를 선택할 수 있다.
2. 날짜를 선택하면 그 날짜에서 배웠던 내용을 다시 볼 수 있다.
3. 만약 그 날짜에 배웠던 내용이 없으면 기록이 없다고 표시 한다."
,로그아웃,로그아웃,로그아웃하면 로그인 페이지로 이동한다.
관리자 사이트,로그인,로그인,"1. 관리자 사이트에 접속하면 로그인 페이지가 표시 된다. 
2. 관리자 아이디, 비밀번호는 미리 정해져 있다. 
3. 정해진 아이디, 비밀번호 를 입력하고 로그인하면 메인화면으로 이동한다."
,메인화면,좌측메뉴,"메인화면의 좌측메뉴에는 대쉬보드, 사용자 관리, 영어문장 관리, 레벨테스트 관리, 로그아웃이 있다.
로그아웃 버튼을 누르면 로그아웃되고 로그인화면으로 이동한다."
,대쉬보드,대쉬보드,총 가입한 사용자와 각 레벨 별 생성된 문장갯수가 표시 된다.
,사용자 관리,사용자리스트,"1. 가입한 총 사용자들의 리스트가 표시 된다. 리스트에는 사용/정지를 토글할 수 있는 버튼과 닉네임, 프로필이미지, 접속한 날짜수, 마지막 접속한 날짜가 표시 된다.
2. 특정 사용자를 선택하면 그 사용자의 학습정보가 다이얼로그로 표시 된다."
,,사용자정지,"1.특정 사용자를 정지하거나 사용으로 상태를 변경할 수 있다.
2.정지 된 사용자는 사용자 어플에서 로그인되어도 학습 컨텐츠가 표시 되지 않는다."
,영어문장 관리,영어 문장 리스트,"1.생성 되어 있는 영어 문장들이 리스트로 표시 된다. 리스트에는 레벨과 메인 문장이 표시 된다. 문장 하나를 클릭하면 그 문장의 상세 내용이 표시 된다.
2.리스트를 특정 레벨로 필터링 할 수 있다. 
3.특정 키워드로 검색할 수 있다."
,,문장 삭제,특정 문장을 선택하고 삭제할 수 있다.
,,AI 문장 생성,문장 생성 버튼을 누르고 생성할 문장의 레벨을 선택하면 그 레벨에 맞는 영어 문장이 AI를 통해 생성된다.
,레벨 테스트 관리,테스트 문제 세트 리스트,"1.레벨 테스트 문항들이 묶여 있는 세트들의 리스트가 표시 된다.
2.특정 세트를 선택하면 그 세트에 포함 된 테스트 문항들이 표시된다."
,,테스트 해보기,특정 테스트 문항들이 묶여 있는 세트를 선택하고 [테스트 해보기] 버튼을 누르면 관리자가 테스트를 해보고 등급을 확인할 수 있다.
,,테스트 문제 세트 삭제,특정 테스트 문항들이 묶여 있는 세트를 선택하여 삭제할 수 있다
,,AI 테스트 문제 세트 생성,[테스트 문항 만들기]버튼을 누르면 10개의 문항이 포함 된 1개의 테스트 세트가 생성된다.
AI,백그라운드,AI 문장 생성,"사용자의 레벨에 맞는 새로운 문장이 표시 되어야한다. 만약 DB에서 사용자의 레벨에 맞는 새로운 학습 문장이 없을 경우 생성형 AI로부터 학습 내용을 생성하여 DB에 추가 되어야 한다.
문장 DB에 사용자가 배우지 않은 문장(레벨에 맞는)이 있을 경우 DB의 내용을 사용한다."
,백그라운드,AI 레벨 테스트 생성,"생성형 AI가 사용자가 회원가입한 이후에 영어 레벨 테스트를 할 수 있는 테스트 문항들을 생성한다.
총 10개의 문제가 1세트이고 10개의 문제중에 몇개를 맞는지에 따라서 레벨을 평가할 수 있도록 한다. (초급/중급/고급)
여러 세트를 생성하여 사용자들이 회원가입하면 랜덤한 테스트 문항이 표시된다."
