구분,페이지,기능명,기능
관리자,로그인,로그인,"관리자 로그인 웹 페이지에서 아이디, 비밀번호 입력 후 로그인 한다.
로그인 되면 메인화면으로 이동한다"
,메인화면,좌측 메뉴리스트,"좌측의 메뉴에는 대쉬보드, 상품관리, 주문관리, 통계, 로그아웃이 있다."
,대쉬보드,대쉬보드 기능,"대쉬보드 페이지에서는 판매중인 상품의 개수, 판매중지 된 상품의 개수, 주문 개수, 발송 완료된 개수가 표시된다."
,상품 관리,상품 리스트 표시,"상품 관리 페이지에서는 판매중인 상품들의 리스트가 표시된다.
상품 이미지, 상품 이름, 판매기간, 판매가격, 재고 개수, 판매중인 상태등이 표시된다.

특정 상품을 선택하면 상품 수정, 상품 삭제 버튼이 활성화된다."
,,상품 검색,상품 이름으로 상품을 검색할 수 있다.
,,상품 등록,상품 등록 버튼을 누르면 상품 등록 페이지로 이동한다.
,,상품 수정,특정 상품을 선택 후 수정 버튼을 누르면 상품 등록 페이지에서 상품 정보를 수정할 수 있다.
,,상품 삭제,특정 상품을 선택 후 삭제 버튼을 누르면 해당 상품을 삭제할 수 있다.
,,상품 판매 상태 활성/비활성,"상품 판매 상태를 활성, 비활성 변경할 수 있다. 이 기능은 리스트에서 토글로 바로 on/off가능하다."
,상품 등록,상품 등록,"상품 등록 페이지에서는 상품의 대표 이미지, 상품 이름, 판매가격, 판매 기간, 상세 내용을 등록할 수 있다.
상품 상세 내용은 html editor를 사용하여 그 안에 이미지나 영상링크 등을 추가할 수 있다."
,상품 등록,상품 수정,상품 수정 페이지는 상품 등록 페이지와 UI는 동일하고 기존에 입력된 내용을 수정할 수 있다.
,주문관리,주문 내역,"구매 요청된 리스트가 표시된다.
구매 요청한 상품 리스트와 개수, 총 금액, 구매자 이름, 입금 상태, 발송 상태가 표시된다.
입금 상태, 발송 상태를 필터링 가능하다.
구매자 이름, 상품명으로 검색 가능하다."
,,주문 상세 내역,"특정 주문내역을 더블 클릭하면 다이얼로그로 추가 상세 정보가 표시된다.
구매자 정보에는 구매자의 이름과 구매자의 주소가 표시된다.
상품 정보에는 상품의 재고갯수, 상품 이미지 등이 표시된다."
,주문관리,입금상태 처리,"특정 주문내역의 입금상태를 변경할 수 있다. 토글로 미입금, 입금완료 변경 가능하다"
,,발송 상태 처리,"특정 주문내역의 발송상태를 변경할 수 있다. 토글로 발송전, 발송완료로 변경 가능하다."
,통계,통계 내용,"통계 페이지에서는 기간을 선택할 수 있다. 기본은 오늘 하루이다.
기간을 선택하면 해당 기간 동안 총 매출, 주문 건수, 발송 건수가 숫자로 표시되고 각각 그래프로 일별 건수가 표시된다."
,로그아웃,로그아웃,로그아웃 되면 관리자 로그인 사이트로 이동한다.
사용자,메인화면,상품 표시,"쇼핑몰 사이트에 접속하면 상단에는 로고 및 로그인 버튼이 있고 아래쪽에는 다양한 상품들이 카드뷰 방식으로 쇼핑몰처럼 표시된다.
각 상품의 가격, 이름, 대표이미지가 표시된다. 품절인 경우 품절이라고 표시된다.
만약 로그인 된 상태이면 로그인 버튼 대신에 사용자의 이름이 표시되고 로그아웃 버튼이 표시 된다."
,상품 상세,주문,"메인화면에서 특정 상품을 클릭하면 상품 상세 페이지가 표시된다.
상품 상세 페이지에는 상품의 개수 선택 및 장바구니 담기 버튼이 있다.
상품의 상세 정보가 표시된다."
,장바구니,장바구니,"장바구니 페이지에서는 담은 상품들이 리스트로 표시된다. 
상품의 개수를 조절하거나 삭제할 수 있다.
주문하기 버튼이나 비우기 버튼이 있다.
비우기 버튼을 누르면 장바구니의 내용이 모두 삭제된다.
주문하기 버튼을 눌렀을 때 아직 로그인 되지 않았으면 로그인 다이얼로그가 표시된다. 로그인 된 상태인 경우 주문이 완료되었다고 표시되고 주문 정보가 서버로 전송된다. (결제는 안됨)"
,로그인,로그인,"메인의 로그인 버튼을 누르면 로그인 다이얼로그가 표시되고 아이디, 비밀번호를 입력하여 로그인할 수 있다.
만약 회원가입한적이 없으면 회원가입 버튼을 눌러서 회원가입할 수 있다."
,회원가입,회원가입,"회원가입 페이지에서는 사용자의 이름, 폰번호, 택배 받을 주소를 입력하고 저장할 수 있다."
,로그아웃,로그아웃,로그아웃 버튼을 누르면 로그아웃 된다.
