ID,기능명,페이지 경로,사용자 구분,기능 분류,상세 설명,UI 요소,테스트 시나리오
AUTH-001,스플래시 화면,/,공통,AUTH,"앱 실행 시 첫 화면으로, 로고 표시 후 인증 상태 확인하여 적절한 화면으로 라우팅","앱 로고 및 앱 이름, 로딩 인디케이터",1) 비로그인 상태→로그인 화면 이동 2) 관리자 로그인→대시보드 이동 3) 회원 로그인→홈 화면 이동
AUTH-002,로그인 화면,/login,공통,AUTH,이메일과 비밀번호로 로그인. 사용자 역할(admin/member)에 따라 다른 화면으로 이동,"이메일 입력 필드, 비밀번호 입력 필드, 로그인 버튼, 에러 메시지 영역",1) 관리자 로그인→대시보드 이동 2) 회원 로그인→홈 이동 3) 잘못된 이메일→유효성 에러 4) 존재하지 않는 계정→에러 5) 비밀번호 오류→에러
ADMIN-001,관리자 대시보드,/admin/dashboard,관리자,ADMIN,관리자 메인 화면. 주요 통계와 빠른 액션 버튼 제공,"오늘의 출석 통계 카드, 전체 회원 수 카드, 읽지 않은 채팅 수 카드, 바로가기 버튼, 하단 네비게이션 바",1) 대시보드 진입→실시간 통계 표시 2) 회원관리 버튼→회원 목록 이동 3) 새 채팅 알림→숫자 업데이트
ADMIN-002,회원 목록,/admin/members,관리자,ADMIN,등록된 전체 회원 목록 조회. 검색 및 필터링 기능 제공,"검색바, 상태별 필터, 회원 리스트, 회원 추가 FAB 버튼",1) 화면 진입→전체 목록 표시 2) 이름 검색→해당 회원만 표시 3) 필터 선택→조건에 맞는 회원 표시 4) 카드 클릭→상세 화면 이동
ADMIN-003,회원 등록,/admin/members/new,관리자,ADMIN,새 회원 등록. Firebase Auth 계정 생성 및 Firestore 데이터 저장,"이메일, 임시 비밀번호, 이름, 전화번호, 생년월일, 성별, 비상연락처, 메모, 등록 버튼",1) 필수 정보 입력→회원 생성 2) 중복 이메일→에러 3) 필수 필드 미입력→에러 4) 잘못된 이메일→유효성 에러
ADMIN-004,회원 상세/수정,/admin/members/:id,관리자,ADMIN,"회원 상세 정보 조회 및 수정. 비밀번호 재설정, 상태 변경 가능","회원 정보 폼, 상태 변경 드롭다운, 비밀번호 재설정 버튼, 저장 버튼, 삭제 버튼",1) 화면 진입→정보 표시 2) 수정 후 저장→성공 메시지 3) 비밀번호 재설정→다이얼로그 4) 상태 정지→로그인 불가
ADMIN-005,출결 관리,/admin/attendance,관리자,"ATT, ADMIN",특정 날짜의 전체 회원 출결 현황 조회 및 수정,"날짜 선택기, 출결 리스트, 상태 드롭다운, 메모 입력, 저장 버튼",1) 오늘 날짜→출결 현황 표시 2) 다른 날짜 선택→해당 날짜 표시 3) 상태 변경→저장 4) 사유결석→메모 다이얼로그
ADMIN-006,출결 통계,/admin/attendance/stats,관리자,"ATT, ADMIN",기간별 출결 통계 및 차트 표시,"기간 선택, 파이 차트, 라인 차트, 출석률 랭킹",1) 주간 선택→7일 통계 2) 월간 선택→30일 통계 3) 데이터 없음→메시지 표시
ADMIN-007,채팅 목록,/admin/chats,관리자,"CHAT, ADMIN",전체 1:1 채팅방 목록. 읽지 않은 메시지 표시,"채팅방 리스트, 읽지 않은 메시지 뱃지",1) 화면 진입→목록 표시 2) 새 메시지→실시간 업데이트 3) 채팅방 클릭→상세 이동
ADMIN-008,채팅 상세,/admin/chats/:roomId,관리자,"CHAT, ADMIN",회원과의 1:1 실시간 채팅 화면,"상대방 이름, 메시지 목록, 입력창, 전송 버튼",1) 진입→메시지 목록 표시 2) 메시지 전송→즉시 표시 3) 상대방 메시지→실시간 표시 4) 빈 메시지→전송 불가
MEMBER-001,회원 홈 화면,/member/home,회원,MEMBER,회원 메인 화면. 오늘의 출석 상태 및 빠른 액션 제공,"환영 메시지, 출석 상태 카드, 출석 체크 버튼, 이번 달 출석률, 하단 네비게이션 바",1) 미출석→버튼 활성화 2) 출석 완료→상태 표시 3) 버튼 클릭→출석 처리
MEMBER-002,출석 체크,/member/home (기능),회원,"ATT, MEMBER","현재 시간 기준 출석 체크. ~09:00 출석, 09:00~09:30 지각, 09:30~ 결석",출석 체크 버튼,1) 08:55 체크→출석 2) 09:15 체크→지각 3) 09:35 체크→결석 4) 이미 출석→버튼 비활성화
MEMBER-003,출결 기록 조회,/member/attendance,회원,"ATT, MEMBER",본인의 출결 기록을 캘린더 형식으로 조회,"월별 캘린더, 날짜별 상태, 상세 정보, 출석률",1) 화면 진입→이번 달 캘린더 2) 다른 달 이동→데이터 로드 3) 날짜 선택→상세 표시
MEMBER-004,1:1 채팅,/member/chat,회원,"CHAT, MEMBER",관리자와의 1:1 실시간 채팅. 채팅방 자동 생성,"관리자 이름, 메시지 목록, 입력창, 전송 버튼",1) 첫 진입→채팅방 생성 2) 메시지 전송→즉시 표시 3) 관리자 응답→실시간 표시
MEMBER-005,내 프로필,/member/profile,회원,MEMBER,본인 정보 조회 및 비밀번호 변경,"프로필 정보(읽기 전용), 비밀번호 변경 버튼, 로그아웃 버튼",1) 화면 진입→정보 표시 2) 비밀번호 변경→다이얼로그 3) 로그아웃→로그인 화면
MEMBER-006,비밀번호 변경,다이얼로그,회원,"AUTH, MEMBER",비밀번호 변경 다이얼로그,"현재 비밀번호, 새 비밀번호, 새 비밀번호 확인, 변경 버튼",1) 올바른 정보→변경 성공 2) 현재 비밀번호 오류→에러 3) 새 비밀번호 불일치→에러
