ID,기능명,페이지 경로,사용자 구분,기능 분류,상세 설명,UI 요소,테스트 시나리오
AUTH-001,스플래시 화면,/,공통,AUTH,앱 실행 시 첫 화면으로 로고 표시 후 로그인 인증 상태를 확인하여 적절한 화면으로 이동합니다.,"앱 로고, 브랜드명, 로딩 인디케이터",1) 로그인 세션 미보유 시 로그인 화면으로 자동 이동 2) 관리자 로그인 세션 보유 시 관리자 대시보드로 이동 3) 학생 로그인 세션 보유 시 학생 홈 화면으로 이동
AUTH-002,로그인 화면,/login,공통,AUTH,이메일과 비밀번호를 사용하여 로그인합니다. 사용자의 권한 역할(admin/student)에 따라 다른 메인 UI로 분기합니다.,"이메일 입력 필드, 비밀번호 입력 필드, 로그인 버튼, 에러 메시지 텍스트",1) 존재하지 않는 계정 로그인 시 에러 경고 확인 2) 관리자 계정 로그인 성공 시 관리자 모드 이동 3) 학생 계정 로그인 성공 시 학생 홈 화면 이동
STUDENT-001,학생 홈 화면,/student/home,학생,STUDENT,"학생 메인 화면으로, 당일 출석 체크 기능 및 이번 달 누적 출석률 요약을 표시합니다.","출석 체크 버튼, 금월 출석률 카드, 1:1 상담 바로가기 버튼",1) 이미 당일 출석을 완료한 상태에서 재체크 시도 시 ""이미 출석 완료"" 경고 노출 검증 2) 오전 9시 이전 출석 시 '출석' 판정 및 9시 이후 출석 시 '지각' 판정 확인
STUDENT-002,학생 출결 현황,/student/attendance,학생,"ATT, STUDENT",본인의 일자별 출결 이력(출석/지각/결석)을 월별 달력(Calendar View) 형식으로 조회합니다.,"월별 달력 위젯, 일자별 상태 인디케이터, 상세 출결 상태 카드",1) 캘린더 화면 진입 시 해당 월의 출결 색상 마커 표시 여부 확인 2) 임의 날짜 선택 시 출석 시각 및 관리자 수동 메모 표시 확인
STUDENT-003,학생 1:1 채팅,/student/chat,학생,"CHAT, STUDENT",관리자와 1:1 실시간 상담 대화를 나눌 수 있는 실시간 채팅방 화면입니다.,"관리자 프로필 정보, 메시지 목록 리스트뷰, 메시지 입력 필드, 전송 버튼",1) 메시지 입력 후 전송 버튼 클릭 시 즉각 말풍선 추가 및 Firestore 저장 확인 2) 관리자의 답변이 실시간으로 학생 대화창에 동기화되는지 검증
ADMIN-001,관리자 대시보드,/admin/dashboard,관리자,ADMIN,"관리자 전용 대시보드로, 총 가입 학생 수 및 당일 출석 통계, 실시간 미답변 문의 채팅 수를 요약 표시합니다.","총 학생 수 카드, 당일 출석 현황(출석/지각/결석) 원형 차트, 미답변 문의 카운트 뱃지",1) 대시보드 진입 시 당일 출석체크 통계가 실시간 차트로 갱신 표시되는지 검증 2) 미답변 채팅 발생 시 미답변 카운트 수치가 즉시 올라가는지 확인
ADMIN-002,학생 명부 관리,/admin/members,관리자,ADMIN,등록된 전체 학생 목록을 이름/이메일로 검색 및 필터링하여 조회합니다.,"학생 검색바, 상태 필터 드롭다운, 학생 프로필 리스트, 학생 추가 FAB",1) 검색어 입력 시 해당 이름의 학생만 리스트에 실시간 필터링 노출되는지 검증 2) 특정 학생 카드 클릭 시 상세 정보 팝업 노출 여부 확인
ADMIN-003,학생 신규 등록,/admin/members/new,관리자,ADMIN,"관리자가 새로운 학생(이름, 이메일, 전화번호 등)을 직접 등록하여 가입시킵니다.","이름 입력창, 이메일 입력창, 전화번호 입력창, 임시 비밀번호 설정, 등록 완료 버튼",1) 이메일 중복 및 미입력 상태 시 유효성 검사 경고 작동 확인 2) 정상 등록 후 Firestore 및 Firebase Auth에 자동 계정 생성 여부 검증
ADMIN-004,학생 정보 상세/수정,/admin/members/:id,관리자,ADMIN,특정 학생의 상세 정보를 조회 및 수정하고 계정 상태 변경(활성/정지) 또는 탈퇴 처리를 지원합니다.,"학생 정보 수정 폼, 상태 변경(활성/정지) 스위치, 비밀번호 초기화 버튼, 저장 버튼, 삭제 버튼",1) 학생의 상태를 '정지'로 변경 후 저장하고 해당 학생 계정으로 로그인 시도 시 차단 팝업이 노출되는지 확인 2) 저장 버튼 클릭 시 정보가 올바르게 업데이트되는지 검증
ADMIN-005,출결 종합 관리,/admin/attendance,관리자,"ATT, ADMIN",선택한 날짜의 전체 학생 출결 상황을 통합 조회하고 임의 학생의 출결 상태를 수동으로 수정하거나 비고 사유를 작성합니다.,"날짜 선택 캘린더, 전체 학생 출결 현황 표, 출결 상태 강제 변경 드롭다운, 비고 입력 폼, 일괄 저장 버튼",1) 지각 상태인 학생을 관리자가 드롭다운을 통해 '출석'으로 강제 보정 시 실시간 반영 여부 검증 2) 결석 사유 비고를 저장하고 해당 학생의 조회 화면에서 확인 가능한지 검증
ADMIN-006,채팅 문의 목록,/admin/chats,관리자,"CHAT, ADMIN",학생들과 개설된 전체 1:1 채팅방 목록을 조회합니다. 미답변 메시지 뱃지와 정렬 기능을 지원합니다.,"채팅방 목록 리스트뷰, 읽지 않은 메시지 카운터, 최종 메시지 미리보기",1) 특정 학생이 메시지를 보내면 해당 채팅방이 최상단으로 자동 배치되고 읽지않음 뱃지가 증가하는지 검증
ADMIN-007,관리자 1:1 채팅,/admin/chats/:roomId,관리자,"CHAT, ADMIN",선택한 학생과 1:1로 실시간 상담 피드백을 보낼 수 있는 실시간 대화창입니다.,"학생 정보 뱃지, 실시간 말풍선 대화창, 메시지 전송 입력 폼, 전송 버튼",1) 관리자가 메시지를 입력해 전송하면 Firestore 메시지 컬렉션에 등록되고 즉시 동기화되는지 검증
